model,seed,metric,n_source,source_performance,source_ci_low,source_ci_high,source_half_width,source_half_width_tolerance,source_within_tolerance
DenseNet121,1,accuracy,1002,0.8842315369261478,0.8632734530938124,0.9031936127744512,0.01996007984031939,0.075,True
DenseNet121,2,accuracy,1002,0.8522954091816367,0.8293413173652695,0.872255489021956,0.02145708582834327,0.075,True
DenseNet121,3,accuracy,1002,0.8602794411177644,0.8383233532934131,0.8822355289421158,0.021956087824351322,0.075,True
DenseNet121,4,accuracy,1002,0.8542914171656687,0.8323353293413174,0.8762475049900199,0.021956087824351267,0.075,True
DenseNet121,5,accuracy,1002,0.8582834331337326,0.8363273453093812,0.8792415169660679,0.021457085828343325,0.075,True
EfficientNetV2B0,1,accuracy,1002,0.8842315369261478,0.8642714570858283,0.9041916167664672,0.019960079840319445,0.075,True
EfficientNetV2B0,2,accuracy,1002,0.8712574850299402,0.8502994011976048,0.8912175648702595,0.02045908183632733,0.075,True
EfficientNetV2B0,3,accuracy,1002,0.8852295409181636,0.8642714570858283,0.9051896207584832,0.020459081836327442,0.075,True
EfficientNetV2B0,4,accuracy,1002,0.8872255489021956,0.8662674650698603,0.906187624750499,0.019960079840319334,0.075,True
EfficientNetV2B0,5,accuracy,1002,0.8712574850299402,0.8512724550898203,0.8912175648702595,0.019972554890219596,0.075,True
MobileNetV2,1,accuracy,1002,0.873253493013972,0.8512974051896207,0.8932135728542914,0.020958083832335328,0.075,True
MobileNetV2,2,accuracy,1002,0.8612774451097804,0.8393213572854291,0.8812375249500998,0.020958083832335328,0.075,True
MobileNetV2,3,accuracy,1002,0.8582834331337326,0.8363273453093812,0.8782435129740519,0.020958083832335328,0.075,True
MobileNetV2,4,accuracy,1002,0.8552894211576846,0.8323353293413174,0.8762475049900199,0.021956087824351267,0.075,True
MobileNetV2,5,accuracy,1002,0.8672654690618763,0.8473053892215568,0.8862524950099799,0.019473552894211543,0.075,True
ResNet50,1,accuracy,1002,0.9031936127744512,0.8852295409181636,0.9211576846307384,0.0179640718562874,0.075,True
ResNet50,2,accuracy,1002,0.874251497005988,0.8532934131736527,0.8952095808383234,0.020958083832335328,0.075,True
ResNet50,3,accuracy,1002,0.8832335329341318,0.8632734530938124,0.9021956087824352,0.019461077844311392,0.075,True
ResNet50,4,accuracy,1002,0.8872255489021956,0.8662674650698603,0.906187624750499,0.019960079840319334,0.075,True
ResNet50,5,accuracy,1002,0.8872255489021956,0.8672654690618763,0.906187624750499,0.019461077844311336,0.075,True
VGG16,1,accuracy,1002,0.8602794411177644,0.8393213572854291,0.8812375249500998,0.020958083832335328,0.075,True
VGG16,2,accuracy,1002,0.872255489021956,0.8512974051896207,0.8922155688622755,0.020459081836327386,0.075,True
VGG16,3,accuracy,1002,0.8602794411177644,0.8383233532934131,0.8822355289421158,0.021956087824351322,0.075,True
VGG16,4,accuracy,1002,0.8572854291417166,0.8353293413173652,0.8782435129740519,0.021457085828343325,0.075,True
VGG16,5,accuracy,1002,0.8682634730538922,0.8473053892215568,0.8892215568862275,0.020958083832335328,0.075,True
DenseNet121,1,specificity,1002,0.9168734491315136,0.897055665824612,0.936332106260817,0.019638220218102465,0.075,True
DenseNet121,2,specificity,1002,0.8858560794044665,0.8621085670643797,0.9071524792849424,0.02252195611028135,0.075,True
DenseNet121,3,specificity,1002,0.8995037220843672,0.8783450362188117,0.9193671509480422,0.02051105736461528,0.075,True
DenseNet121,4,specificity,1002,0.8945409429280397,0.8728174054787465,0.9144670214481536,0.02082480798470354,0.075,True
DenseNet121,5,specificity,1002,0.8895781637717122,0.8683528866934238,0.9108923487768624,0.02126973104171931,0.075,True
EfficientNetV2B0,1,specificity,1002,0.924317617866005,0.9052161952136404,0.941919191919192,0.01835149835277583,0.075,True
EfficientNetV2B0,2,specificity,1002,0.9106699751861044,0.8898377340862313,0.9301225841996142,0.02014242505669145,0.075,True
EfficientNetV2B0,3,specificity,1002,0.9466501240694788,0.9309868768889626,0.961214466307574,0.015113794709305683,0.075,True
EfficientNetV2B0,4,specificity,1002,0.9466501240694788,0.930988548743506,0.9615396530359356,0.015275552146214788,0.075,True
EfficientNetV2B0,5,specificity,1002,0.9267990074441688,0.9088639200998752,0.9441688850610712,0.01765248248059803,0.075,True
MobileNetV2,1,specificity,1002,0.9094292803970224,0.8894409937888199,0.9288389513108616,0.019698978761020836,0.075,True
MobileNetV2,2,specificity,1002,0.9032258064516128,0.8819819133559905,0.9233643908820424,0.02069123876302592,0.075,True
MobileNetV2,3,specificity,1002,0.8957816377171216,0.8740480896326409,0.9158556859564831,0.020903798161921117,0.075,True
MobileNetV2,4,specificity,1002,0.8870967741935484,0.8650054768441897,0.908516403127798,0.021755463141804154,0.075,True
MobileNetV2,5,specificity,1002,0.8982630272952854,0.8774993811881188,0.9187199815270936,0.020610300169487394,0.075,True
ResNet50,1,specificity,1002,0.9416873449131512,0.9243865484109388,0.9579842307293288,0.016798841159195,0.075,True
ResNet50,2,specificity,1002,0.9330024813895782,0.9158249833504876,0.9495708124587544,0.016872914554133422,0.075,True
ResNet50,3,specificity,1002,0.9205955334987592,0.9012496141975308,0.9391023601304164,0.018926372966442784,0.075,True
ResNet50,4,specificity,1002,0.9267990074441688,0.90853379344233,0.9439621189396212,0.017714162748645623,0.075,True
ResNet50,5,specificity,1002,0.9330024813895782,0.9156453406074464,0.9496947927944184,0.017024726093485987,0.075,True
VGG16,1,specificity,1002,0.8808933002481389,0.858706137458591,0.9017265319684674,0.02151019725493819,0.075,True
VGG16,2,specificity,1002,0.9181141439205956,0.8991251246106403,0.9360406320228616,0.018457753706110636,0.075,True
VGG16,3,specificity,1002,0.8821339950372209,0.8605527638190955,0.9037758830694276,0.021611559625166032,0.075,True
VGG16,4,specificity,1002,0.9044665012406948,0.8835192069392813,0.9240348692403488,0.020257831150533756,0.075,True
VGG16,5,specificity,1002,0.8970223325062034,0.8760912371667592,0.9175987830445252,0.02075377293888303,0.075,True
DenseNet121,1,auc_roc,1002,0.9252607991087254,0.9052862714078744,0.9432534563933448,0.01898359249273518,0.075,True
DenseNet121,2,auc_roc,1002,0.9063212133488632,0.8848233750633789,0.9258432335152532,0.02050992922593714,0.075,True
DenseNet121,3,auc_roc,1002,0.9065301058388616,0.8843071674406446,0.9264427963397428,0.021067814449549083,0.075,True
DenseNet121,4,auc_roc,1002,0.9145756317415302,0.8942670579917924,0.9326711166824844,0.019202029345345983,0.075,True
DenseNet121,5,auc_roc,1002,0.9134362181597204,0.8938312295469764,0.9316226626064148,0.01889571652971922,0.075,True
EfficientNetV2B0,1,auc_roc,1002,0.9247797133741834,0.905197760999644,0.942461497234394,0.018631868117374994,0.075,True
EfficientNetV2B0,2,auc_roc,1002,0.9101762293006532,0.8893396153079735,0.9302040361226358,0.020432210407331175,0.075,True
EfficientNetV2B0,3,auc_roc,1002,0.909473590925204,0.8869835446654303,0.9302363641509588,0.021626409742764252,0.075,True
EfficientNetV2B0,4,auc_roc,1002,0.9199498658024003,0.9012336370160122,0.9377488008390786,0.018257581911533205,0.075,True
EfficientNetV2B0,5,auc_roc,1002,0.9148668152124374,0.8932942392496779,0.9341276610303508,0.020416710890336476,0.075,True
MobileNetV2,1,auc_roc,1002,0.9222540132678382,0.9023065740092204,0.9396966436858138,0.01869503483829671,0.075,True
MobileNetV2,2,auc_roc,1002,0.9004025927989061,0.8780581893089957,0.921531477461899,0.02173664407645165,0.075,True
MobileNetV2,3,auc_roc,1002,0.9003519521952701,0.8780060654767097,0.9204328426757692,0.02121338859952976,0.075,True
MobileNetV2,4,auc_roc,1002,0.9086316908897554,0.8867759974697342,0.9282653924807562,0.020744697505511,0.075,True
