model,seed,metric,target_condition,n_target,target_performance,target_ci_low,target_ci_high,target_half_width,target_half_width_tolerance,target_within_tolerance
EfficientNetV2B0,5,specificity,BOSQUE light,105,0.8928571428571429,0.7619047619047619,1.0,0.11904761904761907,0.1,False
MobileNetV2,1,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.967741935483871,0.12672811059907835,0.1,False
MobileNetV2,2,specificity,BOSQUE light,105,0.8214285714285714,0.6666666666666666,0.9565217391304348,0.1449275362318841,0.1,False
MobileNetV2,3,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.967741935483871,0.12672811059907835,0.1,False
MobileNetV2,4,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.967741935483871,0.12672811059907835,0.1,False
MobileNetV2,5,specificity,BOSQUE light,105,0.9285714285714286,0.8181818181818182,1.0,0.09090909090909088,0.1,True
ResNet50,1,specificity,BOSQUE light,105,0.9285714285714286,0.8181818181818182,1.0,0.09090909090909088,0.1,True
ResNet50,2,specificity,BOSQUE light,105,0.8571428571428571,0.71875,0.967741935483871,0.1244959677419355,0.1,False
ResNet50,3,specificity,BOSQUE light,105,0.8928571428571429,0.7666666666666667,1.0,0.11666666666666664,0.1,False
ResNet50,4,specificity,BOSQUE light,105,0.9285714285714286,0.8148148148148148,1.0,0.09259259259259262,0.1,True
ResNet50,5,specificity,BOSQUE light,105,0.8928571428571429,0.7647058823529411,1.0,0.11764705882352944,0.1,False
VGG16,1,specificity,BOSQUE light,105,0.8214285714285714,0.6666666666666666,0.9565217391304348,0.1449275362318841,0.1,False
VGG16,2,specificity,BOSQUE light,105,0.8928571428571429,0.7619047619047619,1.0,0.11904761904761907,0.1,False
VGG16,3,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.9666666666666668,0.12619047619047624,0.1,False
VGG16,4,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.9666666666666668,0.12619047619047624,0.1,False
VGG16,5,specificity,BOSQUE light,105,0.9285714285714286,0.8181818181818182,1.0,0.09090909090909088,0.1,True
DenseNet121,1,specificity,BOSQUE dark,46,0.92,0.8,1.0,0.09999999999999998,0.1,True
DenseNet121,2,specificity,BOSQUE dark,46,0.84,0.68,0.9629629629629628,0.14148148148148137,0.1,False
DenseNet121,3,specificity,BOSQUE dark,46,0.92,0.8,1.0,0.09999999999999998,0.1,True
DenseNet121,4,specificity,BOSQUE dark,46,0.92,0.7931034482758621,1.0,0.10344827586206895,0.1,False
DenseNet121,5,specificity,BOSQUE dark,46,0.92,0.7931034482758621,1.0,0.10344827586206895,0.1,False
EfficientNetV2B0,1,specificity,BOSQUE dark,46,0.84,0.6817727272727273,0.9629629629629628,0.14059511784511775,0.1,False
EfficientNetV2B0,2,specificity,BOSQUE dark,46,0.76,0.5789473684210527,0.92,0.1705263157894737,0.1,False
EfficientNetV2B0,3,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
EfficientNetV2B0,4,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
EfficientNetV2B0,5,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
MobileNetV2,1,specificity,BOSQUE dark,46,0.56,0.3636363636363636,0.75,0.1931818181818182,0.1,False
MobileNetV2,2,specificity,BOSQUE dark,46,0.64,0.4444444444444444,0.8260869565217391,0.19082125603864736,0.1,False
MobileNetV2,3,specificity,BOSQUE dark,46,0.68,0.5,0.8571428571428571,0.17857142857142855,0.1,False
MobileNetV2,4,specificity,BOSQUE dark,46,0.72,0.5384615384615384,0.8888888888888888,0.1752136752136752,0.1,False
MobileNetV2,5,specificity,BOSQUE dark,46,0.52,0.32,0.7142857142857143,0.19714285714285715,0.1,False
ResNet50,1,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
ResNet50,2,specificity,BOSQUE dark,46,0.84,0.6818181818181818,0.9629629629629628,0.14057239057239052,0.1,False
ResNet50,3,specificity,BOSQUE dark,46,0.84,0.6818181818181818,0.9642857142857144,0.14123376623376632,0.1,False
ResNet50,4,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
ResNet50,5,specificity,BOSQUE dark,46,1.0,1.0,1.0,0.0,0.1,True
VGG16,1,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
VGG16,2,specificity,BOSQUE dark,46,0.88,0.7332692307692308,1.0,0.1333653846153846,0.1,False
VGG16,3,specificity,BOSQUE dark,46,0.88,0.7391304347826086,1.0,0.13043478260869568,0.1,False
VGG16,4,specificity,BOSQUE dark,46,0.84,0.68,0.9629629629629628,0.14148148148148137,0.1,False
VGG16,5,specificity,BOSQUE dark,46,0.84,0.6818181818181818,0.9629629629629628,0.14057239057239052,0.1,False
DenseNet121,1,auc_roc,BOSQUE overall,151,0.8107431651906045,0.7380945616883117,0.8767056993251845,0.06930556881843641,0.1,True
DenseNet121,2,auc_roc,BOSQUE overall,151,0.8113207547169812,0.7360234217697239,0.8802005148968505,0.07208854656356328,0.1,True
DenseNet121,3,auc_roc,BOSQUE overall,151,0.8571428571428571,0.7905159854449145,0.915151515151515,0.06231776485330026,0.1,True
DenseNet121,4,auc_roc,BOSQUE overall,151,0.8762033115132845,0.8128587326868998,0.9294521850862836,0.058296726199691895,0.1,True
DenseNet121,5,auc_roc,BOSQUE overall,151,0.8529072006160955,0.7882234318484677,0.9106015950069348,0.061189081579233584,0.1,True
EfficientNetV2B0,1,auc_roc,BOSQUE overall,151,0.859645745090489,0.7931170607520828,0.915858892321271,0.06137091578459414,0.1,True
EfficientNetV2B0,2,auc_roc,BOSQUE overall,151,0.8473238351944552,0.7776303776632725,0.9087129130653616,0.06554126770104457,0.1,True
