metric_group,model,metric,target_condition,n_seeds,n_target,source_mean,source_sd,target_mean,target_sd,degradation_mean,degradation_sd,tac_adequate_n,tac_not_adequate_n,tac_inconclusive_n,etc_transported_n,etc_not_transported_n,etc_inconclusive_n,most_common_joint_region
Secondary,DenseNet121,accuracy,BOSQUE light,5,105,0.86187624750499,0.012889328775219946,0.6876190476190476,0.05102131518468144,0.1742571998859424,0.05891318726599919,0,3,2,0,3,2,not adequate and not transported
Secondary,EfficientNetV2B0,accuracy,BOSQUE light,5,105,0.8798403193612774,0.007908827447568425,0.7523809523809524,0.029354352395090332,0.127459366980325,0.03132501166279639,0,1,4,0,1,4,inconclusive
Secondary,MobileNetV2,accuracy,BOSQUE light,5,105,0.8630738522954091,0.007210535675923507,0.6476190476190476,0.03011693009684174,0.21545480467636152,0.029794887208413882,0,5,0,0,5,0,not adequate and not transported
Secondary,ResNet50,accuracy,BOSQUE light,5,105,0.8870259481037925,0.01047666544671515,0.6685714285714285,0.01564921592871902,0.21845451953236386,0.022062982504845844,0,5,0,0,5,0,not adequate and not transported
Secondary,VGG16,accuracy,BOSQUE light,5,105,0.8636726546906187,0.0062961318545259265,0.6247619047619047,0.02743782912550083,0.23891074992871392,0.030903200839872552,0,5,0,0,5,0,not adequate and not transported
Secondary,DenseNet121,accuracy,BOSQUE dark,5,46,0.86187624750499,0.012889328775219946,0.726086956521739,0.03296902366978935,0.13578929098325088,0.030314632408773575,0,0,5,0,0,5,inconclusive
Secondary,EfficientNetV2B0,accuracy,BOSQUE dark,5,46,0.8798403193612774,0.007908827447568425,0.726086956521739,0.03296902366978936,0.15375336283953833,0.026383046244434796,0,0,5,0,1,4,inconclusive
Secondary,MobileNetV2,accuracy,BOSQUE dark,5,46,0.8630738522954091,0.007210535675923507,0.6043478260869566,0.058332208108690185,0.25872602620845264,0.06442880992292811,0,4,1,0,4,1,not adequate and not transported
Secondary,ResNet50,accuracy,BOSQUE dark,5,46,0.8870259481037925,0.01047666544671515,0.6782608695652174,0.028344358283489766,0.208765078538575,0.03438299475686207,0,2,3,0,4,1,inconclusive
Secondary,VGG16,accuracy,BOSQUE dark,5,46,0.8636726546906187,0.0062961318545259265,0.6956521739130435,0.026624888508512783,0.16802048077757523,0.031072228017781405,0,0,5,0,2,3,inconclusive
Secondary,DenseNet121,specificity,BOSQUE overall,5,151,0.8972704714640198,0.012105519521241124,0.909433962264151,0.031003163632367856,-0.012163490800131103,0.025793474260766062,3,0,2,1,0,4,inconclusive
Secondary,EfficientNetV2B0,specificity,BOSQUE overall,5,151,0.9310173697270472,0.015535956171214322,0.8603773584905661,0.039125361044014546,0.07064001123648103,0.029944125599658956,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,specificity,BOSQUE overall,5,151,0.8987593052109182,0.008350530357550349,0.750943396226415,0.03100316363236796,0.14781590898450297,0.03895948785396549,0,0,5,0,2,3,inconclusive
Secondary,ResNet50,specificity,BOSQUE overall,5,151,0.9310173697270472,0.007876213522632182,0.8943396226415095,0.03678035601814704,0.036677747085537685,0.03516985040327188,3,0,2,0,0,5,inconclusive
Secondary,VGG16,specificity,BOSQUE overall,5,151,0.8965260545905707,0.015659318090294787,0.8679245283018868,0.018867924528301883,0.02860152628868386,0.017896949218849434,0,0,5,0,0,5,inconclusive
Secondary,DenseNet121,specificity,BOSQUE light,5,105,0.8972704714640198,0.012105519521241124,0.9142857142857143,0.04072055089639782,-0.01701524282169442,0.037079573147823085,3,0,2,1,0,4,inconclusive
Secondary,EfficientNetV2B0,specificity,BOSQUE light,5,105,0.9310173697270472,0.015535956171214322,0.8714285714285716,0.03194382824999704,0.05958879829847567,0.02853485172181723,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,specificity,BOSQUE light,5,105,0.8987593052109182,0.008350530357550349,0.8642857142857142,0.03912303982179764,0.03447359092520382,0.04120469347234144,1,0,4,0,0,5,inconclusive
Secondary,ResNet50,specificity,BOSQUE light,5,105,0.9310173697270472,0.007876213522632182,0.9,0.02988071523335987,0.031017369727047116,0.029582645784049576,2,0,3,0,0,5,inconclusive
Secondary,VGG16,specificity,BOSQUE light,5,105,0.8965260545905707,0.015659318090294787,0.8714285714285713,0.04072055089639779,0.0250974831619993,0.03494274423058553,1,0,4,0,0,5,inconclusive
Secondary,DenseNet121,specificity,BOSQUE dark,5,46,0.8972704714640198,0.012105519521241124,0.9040000000000001,0.03577708763999667,-0.006729528535980139,0.031144307995154056,3,0,2,0,0,5,inconclusive
Secondary,EfficientNetV2B0,specificity,BOSQUE dark,5,46,0.9310173697270472,0.015535956171214322,0.8480000000000001,0.0521536192416212,0.08301736972704714,0.04008150726303186,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,specificity,BOSQUE dark,5,46,0.8987593052109182,0.008350530357550349,0.624,0.08294576541331085,0.27475930521091807,0.08872884694578922,0,2,3,0,3,2,inconclusive
Secondary,ResNet50,specificity,BOSQUE dark,5,46,0.9310173697270472,0.007876213522632182,0.8879999999999999,0.06572670690061994,0.04301736972704714,0.06398588554038379,1,0,4,1,0,4,inconclusive
Secondary,VGG16,specificity,BOSQUE dark,5,46,0.8965260545905707,0.015659318090294787,0.8640000000000001,0.021908902300206663,0.03252605459057068,0.029898975473553774,0,0,5,0,0,5,inconclusive
Secondary,DenseNet121,auc_roc,BOSQUE overall,5,151,0.9132247936395401,0.007733258645909821,0.8416634578359645,0.029307759964299997,0.07156133580357557,0.03205288195610731,0,0,5,0,0,5,inconclusive
Secondary,EfficientNetV2B0,auc_roc,BOSQUE overall,5,151,0.9158492429229756,0.006526208635979558,0.8551020408163266,0.0057414581143493335,0.06074720210664908,0.007441810560960275,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,auc_roc,BOSQUE overall,5,151,0.9110447156530107,0.011360874066693073,0.7580284944166346,0.013670567848737903,0.15301622123637598,0.020092696905208752,0,5,0,0,5,0,not adequate and not transported
Secondary,ResNet50,auc_roc,BOSQUE overall,5,151,0.9292829290525143,0.01036818399707553,0.8324990373507895,0.014235495606941597,0.09678389170172493,0.01899719398987772,0,0,5,0,1,4,inconclusive
Secondary,VGG16,auc_roc,BOSQUE overall,5,151,0.9199891122702184,0.0070166115344322995,0.7947246823257605,0.022620167199668636,0.1252644299444577,0.024094794314331747,0,1,4,0,3,2,inconclusive
Secondary,DenseNet121,auc_roc,BOSQUE light,5,105,0.9132247936395401,0.007733258645909821,0.84860853432282,0.023918553421829872,0.06461625931672016,0.027473184809380564,0,0,5,0,0,5,inconclusive
Secondary,EfficientNetV2B0,auc_roc,BOSQUE light,5,105,0.9158492429229756,0.006526208635979558,0.8898886827458256,0.006564349838104538,0.02596056017715006,0.00990332980189923,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,auc_roc,BOSQUE light,5,105,0.9110447156530107,0.011360874066693073,0.8427643784786643,0.016460776923761983,0.06828033717434631,0.011869334374711464,0,0,5,0,0,5,inconclusive
Secondary,ResNet50,auc_roc,BOSQUE light,5,105,0.9292829290525143,0.01036818399707553,0.8745825602968461,0.006364677511285526,0.05470036875566826,0.011761691119320739,0,0,5,0,0,5,inconclusive
Secondary,VGG16,auc_roc,BOSQUE light,5,105,0.9199891122702184,0.0070166115344322995,0.7973098330241187,0.031367187877667686,0.12267927924609952,0.03192257283660445,0,1,4,0,1,4,inconclusive
Secondary,DenseNet121,auc_roc,BOSQUE dark,5,46,0.9132247936395401,0.007733258645909821,0.8015238095238095,0.04202148246625926,0.11170098411573066,0.04337385432297244,0,0,5,0,0,5,inconclusive
Secondary,EfficientNetV2B0,auc_roc,BOSQUE dark,5,46,0.9158492429229756,0.006526208635979558,0.7702857142857142,0.011236480917144766,0.14556352863726144,0.010554303142416614,0,0,5,0,0,5,inconclusive
Secondary,MobileNetV2,auc_roc,BOSQUE dark,5,46,0.9110447156530107,0.011360874066693073,0.6617142857142857,0.02627605067361278,0.24933042993872484,0.03487266891843454,0,5,0,0,4,1,not adequate and not transported
Secondary,ResNet50,auc_roc,BOSQUE dark,5,46,0.9292829290525143,0.01036818399707553,0.7466666666666667,0.018070158058105027,0.18261626238584763,0.02488808271950424,0,0,5,0,1,4,inconclusive
Secondary,VGG16,auc_roc,BOSQUE dark,5,46,0.9199891122702184,0.0070166115344322995,0.7866666666666666,0.011818736805705585,0.1333224456035516,0.018208267903962565,0,0,5,0,0,5,inconclusive
